,isHealthy,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,Apple___Black_rot,111.653564453125,118.26689147949219,103.69697570800781,53.17565320234295,37.32955012476411,51.74259110502547,642.4426332720582,0.8282997192263553,0.060938401706978194,13.35890037185072
0,Apple___Black_rot,121.9400634765625,122.81806945800781,127.23199462890625,50.305909374195004,47.98840189401359,52.886407113722605,546.9470953329246,0.8847517843805114,0.14900058110551656,12.906667031171459
0,Apple___Black_rot,112.25407409667969,123.33795166015625,108.47683715820312,60.73118173156666,45.710182589194574,72.15491634321553,921.0517549440111,0.8278118254779039,0.07166454100328583,13.840327176173306
0,Apple___Black_rot,117.99365234375,120.94725036621094,120.62019348144531,54.241066383886356,42.10417926631515,62.92984065050938,741.5257991067133,0.8349333132267753,0.1153692806258712,13.11684775710384
0,Apple___Black_rot,114.55323791503906,125.67410278320312,102.15739440917969,50.405860138291885,41.137000374275544,58.815783415111945,603.2322231383357,0.8298137961087457,0.10455661560891116,13.271357367270895
0,Apple___Black_rot,116.89810180664062,122.08831787109375,109.656982421875,52.94922919988265,37.509521662299356,48.358805618878314,543.1880964352647,0.8534189836215431,0.07776615768448521,13.24950214228349
0,Apple___Black_rot,100.51052856445312,118.42059326171875,97.01020812988281,51.3378015302172,36.677586794072376,58.181458605025895,635.7135308835539,0.8089193995683208,0.0924675271673645,13.37105241557942
0,Apple___Black_rot,111.02006530761719,125.20236206054688,112.32765197753906,49.31069639193756,37.550069169256965,54.97315786332266,782.5797676224282,0.7737714603068593,0.08709605754750566,13.45504214405613
0,Apple___Black_rot,120.75738525390625,124.82481384277344,110.76280212402344,54.626126893670005,38.01751259019542,53.6878285172088,482.322739090734,0.8776694882825661,0.08264794096713313,13.156427242181625
0,Apple___Black_rot,115.37936401367188,134.0220947265625,116.18931579589844,43.881821887584,35.56084160864103,52.016598643196126,540.5987475069682,0.8095850833731835,0.13391722314474314,12.717354644039663
0,Apple___Black_rot,131.6376190185547,135.26657104492188,115.77406311035156,48.774867958358854,32.38795453648928,51.48939027883846,620.9813909614086,0.7906913170289835,0.06426026755865064,13.337963367249856
0,Apple___Black_rot,119.07649230957031,136.581787109375,114.58308410644531,59.2802427400739,47.044039221759306,70.59372531650746,799.6078941693092,0.8487774371183907,0.08096464346434505,13.8929427266141
0,Apple___Black_rot,117.54972839355469,126.29034423828125,116.78901672363281,53.561449349626244,46.0014922405574,58.362963950868156,1168.0456409794301,0.7504448296895049,0.09593997142033782,13.773251693105575
0,Apple___Black_rot,116.21580505371094,127.16218566894531,107.85687255859375,54.94268959979176,37.78821839665068,64.03492707219229,911.4308528420551,0.7635795311069971,0.06600414000475074,13.87286976797969
0,Apple___Black_rot,120.35009765625,128.47898864746094,121.63157653808594,46.79150496098518,42.7979533530356,52.50088898631057,759.1082363453953,0.7943725655517396,0.08853622327737778,13.41912696535154
0,Apple___Black_rot,115.94990539550781,125.09184265136719,114.19937133789062,55.594422794712784,49.52693910519343,61.04897343778934,736.89373754986,0.8613599322582963,0.11569888393871909,13.541357675384344
